LINK;TITULO;FECHA;MEDIO;MODALIDAD DE ROBO;TIPO DE ARMA;EDAD VICTIMA;EDAD DELINCUENTE;GENERO VICTIMA;GENERO DELINCUENTE;DISTRITO;MUERTOS;HERIDOS;OCUPACIÓN
http://trome.pe/actualidad/policiales/inseguridad-ciudadana-delincuente-asalto-barranco-fotos-48442;Inseguridad ciudadana: ‘Loco Cris’ cae in fraganti cuando asaltaba a una mujer en Barranco [FOTOS];1/05/2017;Trome;Asalto;Pistola;;15-21;Mujer;Hombre;Barranco;0;0;Estudiante
http://canaln.pe/actualidad/lince-roban-departamentos-solo-metros-modulo-serenazgo-n274747;Lince: roban departamentos a solo unos metros de módulo de Serenazgo;1/05/2017;CanalN;Hurto;Sin arma;;;Hombre / Mujer;Varios (No especifíca);Lince;0;0;
http://peru21.pe/actualidad/san-borja-banda-delincuentes-desata-balacera-contra-serenos-video-2279866;San Borja: Banda de delincuentes desata balacera contra serenos [Video];1/05/2017;Perú21;Asalto;Pistola;;;;;San Borja;0;1;Vigilante
http://www.elpopular.pe/actualidad-y-policiales/2017-05-02-villa-maria-del-triunfo-padre-e-hijo-se-hacian-pasar-por-pastores-evangelicos-para-robar;Villa María del Triunfo: padre e hijo se hacían pasar por pastores evangélicos para robar.;2/05/2017;El Popular;Hurto;Sin Arma;;22-34 / 35-55;Varios (No especifíca);Hombre (2);Villa María del Triunfo;0;0;
http://www.elpopular.pe/actualidad-y-policiales/2017-05-02-chorrillos-serenos-caen-pidiendo-cupos-comerciantes;"Chorrillos: serenos caen pidiendo ""cupos"" a comerciantes";2/05/2017;El Popular;Extorsión;Sin Arma;;22-34 / 34-55;Varios (No especifica);Hombre (2);Chorrillos;0;0;Comerciante
http://peru21.pe/actualidad/callao-delincuente-muere-ataque-policia-asentamiento-humano-video-2280678;Delincuente muere tras ataque a la Policía en el Callao [Video];7/05/2017;Perú21;Otros;Pistola;Varios;Varios (4);Varios (No especifíca);Hombre (4);Callao;1;3;Policía
https://panamericana.pe/24horas/locales/226040-jesus-maria-agentes-policiales-investigan-asalto-inmobiliaria;Jesús María: agentes policiales investigan asaltan a inmobiliaria;3/05/2017;Panamericana;Asalto;Otros;;;;;Jesús María;0;0;
http://www.elpopular.pe/actualidad-y-policiales/2017-05-05-sicario-mata-de-ocho-balazos-sujeto-y-hiere-otro-en-bar-del-callao;Sicario mata de ocho balazos a sujeto y hiere a otro en bar del Callao;5/05/2017;El Popular;Sicariato;Pistola;22-34 / 22-34;;Hombre (2);Hombre;Callao;1;1;Delincuente
http://peru21.pe/actualidad/chosica-roban-mallas-acero-mas-s1-millon-que-servian-contener-fuerza-huaicos-2280084;Chosica: Roban mallas de acero por más de S/1 millón que servían para contener huaicos;3/05/2017;Perú21;Hurto;Sin Arma;;;;;Chosica;0;0;
http://peru21.pe/actualidad/ladrones-robaron-camion-lo-abandonan-al-encontrar-curioso-botin-2280115;Ladrones robaron camión pero lo abandonan al encontrar un curioso ‘botín’;3/05/2017;Perú21;Hurto;Sin Arma;;;Hombre;;Ate;0;0;Chofer
http://www.elpopular.pe/actualidad-y-policiales/2017-05-10-callao-matan-brazo-derecho-de-renzito;Callao: Matan a brazo derecho de Renzito;10/05/2017;El Popular;Sicariato;Pistola;22-34 / 35-55;;Varios (2);Varios (No especifica);Callao;1;1;Delincuente
http://www.elpopular.pe/actualidad-y-policiales/2017-05-04-surco-balazos-asaltan-exclusivo-restaurante-donde-comieron-alondra-garcia-y-chirstian-meier-video;Surco: a balazos asaltan exclusivo restaurante donde comieron Alondra García y Christian Meier.;4/05/2017;El Popular;Asalto;Pistola;;;Varios;Varios (No especifica);Surco;0;0;Comensales
http://ojo.pe/policial/callao-matan-a-joven-de-11-disparos-en-la-puerta-de-su-casa-fotos-y-video-241939/;Callao: Matan a joven de 11 disparos en la puerta de su casa (FOTOS y VIDEO);18/05/2017;Ojo;Sicariato;Pistola;22-34;;Hombre;Hombre (2);Callao;1;0;
http://peru21.pe/actualidad/tres-delincuentes-asaltan-joven-haciendose-pasar-personal-aeropuerto-jorge-chavez-2283007;Tres delincuentes asaltan a una joven haciéndose pasar por personal del aeropuerto Jorge Chávez [VIDEO];25/05/2017;Perú21;Asalto;Sin Arma;;Varios (3);Mujer;Hombre (3);Callao;0;0;
http://www.elpopular.pe/actualidad-y-policiales/2017-05-29-policia-de-secuestros-captura-dos-tres-extorsionadores;Policía de Secuestros captura a extorsionadores;29/05/2017;El Popular;Extorsión;Sin Arma;22-34;15-21 / 22-34 / 34-55;Hombre;Hombre (2) / Mujer;Callao;0;0;Obrero
http://rpp.pe/lima/policiales-crimenes/delincuentes-balearon-a-un-policia-en-un-asalto-en-san-juan-de-lurigancho-noticia-1048821;Delincuentes balearon a un policía en un asalto en San Juan de Lurigancho;6/05/2017;RPP;Asalto;Pistola;56-100;;Hombre;Varios (No especifica);San Juan de Lurigancho;0;1;Policía
http://www.elpopular.pe/actualidad-y-policiales/2017-05-06-seguridad-ciudadana-delincuentes-amenazan-con-dispararle-bebe-durante-asalto;Seguridad Ciudadana: delincuentes amenazan con dispararle a bebé durante asalto.;6/05/2017;El Popular;Asalto;Pistola;;;Mujer;Varios (7);Comas;0;0;
http://larepublica.pe/sociedad/872860-los-olivos-la-impresionante-persecucion-dos-delincuentes-en-moto-video;Los Olivos: la impresionante persecución a dos delincuentes en moto [VIDEO];6/05/2017;La República;Asalto;Sin Arma;;;;Hombre (2);Los Olivos;0;0;
http://larepublica.pe/sociedad/873498-puente-piedra-pnp-capturo-3-integrantes-de-los-terribles-de-copacabana;Puente Piedra: PNP capturó a 3 integrantes de “Los terribles de Copacabana”;8/05/2017;La República;Asalto;Pistola;;15-21 (3);;Hombre (3);Puente Piedra;0;0;
http://peru21.pe/actualidad/callao-delincuente-roba-compania-bomberos-y-camaras-seguridad-lo-registraron-todo-video-2281941;Callao: Delincuente roba costosos equipos de una compañía de bomberos [VIDEO];17/05/2017;Perú21;Hurto;Sin Arma;;;;Hombre;Callao;0;0;Bombero
